Date,Open,High,Low,Close,Volume
2020/09/09,68.5,71.5,68.2,71,6481
2020/09/08,71.1,72.4,68.9,70.2,11305
2020/09/07,71,71.8,67.7,68.5,7474
2020/09/04,68,71.4,67,70.5,8164
2020/09/03,74.1,74.5,69.6,70.5,12113
2020/09/02,73,74.6,71.6,73,10920
2020/09/01,73.5,78,71.5,72.5,28440
2020/08/31,70.9,76,69.6,73.5,29685
2020/08/28,66.4,70.3,65.7,69.3,13786
2020/08/27,68.9,71.1,66.7,66.8,21380
2020/08/26,68.4,69.2,66.7,68.1,18689
2020/08/25,64.2,70.2,63.6,68,33466
2020/08/24,62.2,65.8,60.1,63.9,16102
2020/08/21,64.7,65.8,61.6,62.8,14306
2020/08/20,64.9,65.1,58.8,62.6,16959
2020/08/19,68.3,70.5,65,65.3,18568
2020/08/18,71,71.5,67.4,67.4,17475
2020/08/17,68.9,72.5,67.2,72.5,29436
2020/08/14,63,68.4,62.5,68.4,27694
2020/08/13,64.9,64.9,60.7,62.2,38463
2020/08/12,54.7,59,54.2,59,20122
2020/08/11,55.8,55.8,53.3,53.7,11721
2020/08/10,55,55.9,52.5,54.5,12471
2020/08/07,52,55.2,51.5,53.8,17955
2020/08/06,53.6,54.3,50.6,50.8,17164
2020/08/05,49.8,52.4,48.55,52.4,21773
2020/08/04,47.05,51.2,47.05,47.65,18859
2020/08/03,47.05,47.8,46.1,46.9,4837
2020/07/31,46.3,47.4,45.5,46.55,5774
2020/07/30,46.5,48.3,45.5,46.75,20410
2020/07/29,43.6,46.8,42.8,46.5,17144
2020/07/28,42.75,44,41.5,42.95,5534
2020/07/27,42.35,43.65,41.1,42.5,5777
2020/07/24,41.85,42.75,41.1,41.65,3705
2020/07/23,42.1,43.2,41.1,41.85,3697
2020/07/22,39.9,42.6,39.9,42.2,4627
2020/07/21,40.1,40.8,39.8,40.25,2109
2020/07/20,39.55,40.2,38.1,40,2132
2020/07/17,40.3,41.2,39,39.3,3919
2020/07/16,40.4,40.65,38.65,39.45,4150
2020/07/15,41.3,41.9,39.5,39.8,3624
2020/07/14,41.05,42.6,40.7,40.8,3113
2020/07/13,42.65,43.95,41.55,41.75,4774
2020/07/10,44.95,45,41.3,41.7,8502
2020/07/09,44.75,45.15,43.7,44.95,5549
2020/07/08,43,45.4,42.8,44.75,9369
2020/07/07,42.8,44,41.6,42.75,7366
2020/07/06,41.6,43.1,41.3,42.8,6763
2020/07/03,42.2,43.15,40.7,41.75,12072
2020/07/02,40,42.1,39.95,41.25,12851
2020/07/01,39.9,40.35,39.05,39.3,6440
2020/06/30,38.1,40.8,37.95,40.1,12338
2020/06/29,37.15,38.15,36.8,37.8,3461
2020/06/24,37.7,38.15,36.85,37.15,3502
2020/06/23,37.8,38.5,37.25,37.5,5823
2020/06/22,37.75,38.2,37.15,37.2,5230
2020/06/19,39.5,40.3,37.5,37.85,14199
2020/06/18,37.7,39.45,37,39.45,22243
2020/06/17,35.35,36.75,35.25,35.9,12131
2020/06/16,34,35.2,34,34.55,8696
2020/06/15,33.5,34.2,33.15,33.15,2867
2020/06/12,32.35,33.55,32.2,33.3,3028
2020/06/11,35.05,35.95,33.5,33.65,6118
2020/06/10,38.55,39,35.5,35.55,17394
2020/06/09,35.95,37.25,35.65,36.65,6503
2020/06/08,35.65,36.35,35.55,35.65,2655
2020/06/05,35.6,37,35.5,35.5,6724
2020/06/04,34.85,35.85,34.85,35.85,3959
2020/06/03,35.5,36.3,34.85,34.9,7587
2020/06/02,35.55,35.55,33.85,35.05,5733
2020/06/01,36.15,36.4,35,35.5,5839
