Date,Open,High,Low,Close,Volume,,,,,,,,,,,
2020/09/15,42.95,42.95,42.5,42.7,"11,504",,,,,,,,,,,
2020/09/14,42.35,42.95,42.3,42.95,"14,634",,,,,,,,,,,
2020/09/11,42.45,42.45,42.2,42.3,"12,274",,,,,,,,,,,
2020/09/10,42.6,42.7,42.1,42.45,"14,342",,,,,,,,,,,
2020/09/09,42.15,42.6,42,42.55,"16,304",,,,,,,,,,,
2020/09/08,43,43.1,42.65,42.7,"13,631",,,,,,,,,,,
2020/09/07,42.05,42.7,42,42.7,"16,138",,,,,,,,,,,
2020/09/04,42.3,42.3,42.05,42.2,"24,289",,,,,,,,,,,
2020/09/03,42.65,43,42.4,42.7,"23,814",,,,,,,,,,,
2020/09/02,43,43.2,42.25,42.65,"21,361",,,,,,,,,,,
2020/09/01,43.2,43.2,42.55,42.75,"16,607",,,,,,,,,,,
2020/08/31,43.8,43.9,42.9,42.9,"20,250",,,,,,,,,,,
2020/08/28,43.85,44,43.1,43.5,"16,716",,,,,,,,,,,
2020/08/27,44.1,44.1,43.7,43.85,"8,813",,,,,,,,,,,
2020/08/26,44.1,44.15,43.85,44.1,"15,157",,,,,,,,,,,
2020/08/25,44.4,44.4,44,44.1,"14,652",,,,,,,,,,,
2020/08/24,44.25,44.3,43.7,44.05,"15,179",,,,,,,,,,,
2020/08/21,44.2,44.5,43.75,44.25,"23,932",,,,,,,,,,,
2020/08/20,44.45,45,43,43.5,"33,185",,,,,,,,,,,
2020/08/19,44,44.7,43.95,44.35,"30,791",,,,,,,,,,,
2020/08/18,43.45,44.3,43.45,44,"31,547",,,,,,,,,,,
2020/08/17,43.25,43.85,43.2,43.35,"18,671",,,,,,,,,,,
2020/08/14,41.3,43,41.25,42.85,"36,239",,,,,,,,,,,
2020/08/13,41.3,41.6,41,41.2,"31,054",,,,,,,,,,,
2020/08/12,41.4,41.45,40.85,41,"88,740",,,,,,,,,,,
2020/08/11,46.55,46.75,46.5,46.5,"32,519",,,,,,,,,,,
2020/08/10,46.9,47,46.5,46.6,"27,092",,,,,,,,,,,
2020/08/07,47.5,47.55,46.95,47.1,"30,533",,,,,,,,,,,
2020/08/06,46.95,47.15,46.5,47.15,"34,077",,,,,,,,,,,
2020/08/05,45.6,46.65,45.6,46.45,"41,542",,,,,,,,,,,
2020/08/04,44.95,45.65,44.95,45.4,"22,411",,,,,,,,,,,
2020/08/03,45,45,44.7,44.95,"13,546",,,,,,,,,,,
2020/07/31,45.35,45.5,45,45,"11,621",,,,,,,,,,,
2020/07/30,45.2,45.4,44.95,45.35,"10,024",,,,,,,,,,,
2020/07/29,44.5,45.25,44.35,45.05,"17,660",,,,,,,,,,,
2020/07/28,44.4,44.95,44,44.5,"18,757",,,,,,,,,,,
2020/07/27,44.95,45.25,44.6,44.6,"13,606",,,,,,,,,,,
2020/07/24,45.3,45.45,45,45,"11,746",,,,,,,,,,,
2020/07/23,45.5,45.65,45.2,45.6,"14,367",,,,,,,,,,,
2020/07/22,45.4,45.75,45.3,45.5,"16,703",,,,,,,,,,,
2020/07/21,45.25,45.8,45.2,45.55,"31,577",,,,,,,,,,,
2020/07/20,44.8,45.25,44.75,45.1,"15,003",,,,,,,,,,,
2020/07/17,44.85,45.1,44.65,44.8,"14,423",,,,,,,,,,,
2020/07/16,45.45,45.45,44.4,44.5,"36,668",,,,,,,,,,,
2020/07/15,45.4,45.75,45.3,45.6,"26,551",,,,,,,,,,,
2020/07/14,45.1,45.4,45.05,45.3,"12,095",,,,,,,,,,,
